Weapon	Rarity	MagazineSize	AttackValue	Weight	Durability	ShotInterval	Reload Time	Power/S (DPS)
Multi Guided Missile Launcher (Swap)	Epic	4	7965	30	900	0,375	5,000	4901,5
Multi Guided Missile Launcher (Swap)	Rare	4	7375	30	600	0,375	5,000	4538,5
Multi Guided Missile Launcher (Swap)	Uncommon	4	6785	30	450	0,375	5,000	4175,4
Multi Guided Missile Launcher (Swap)	Common	4	5900	30	300	0,375	5,000	3630,8
Musket	Legendary	1	2000	20	800	0,100	5,967	329,7
Musket	Epic	1	1800	20	600	0,100	5,967	296,7
Musket	Rare	1	1600	20	500	0,100	5,967	263,7
Musket	Uncommon	1	1400	20	400	0,100	5,967	230,8
Musket	Common	1	1000	20	200	0,100	5,967	164,8
Nightglow	Legendary	1	100	5	6000	0,050		2000,0
Nightglow	Epic	1	80	5	5000	0,050		1600,0
Nightglow	Rare	1	70	5	4000	0,050		1400,0
Nightglow	Uncommon	1	60	5	3000	0,050		1200,0
Nightglow	Common	1	50	5	3000	0,050		1000,0
Old Bow	Legendary	1	247	6	700	1,667		148,2
Old Bow	Epic	1	208	6	600	1,667		124,8
Old Bow	Rare	1	169	6	500	1,667		101,4
Old Bow	Uncommon	1	130	6	400	1,667		78,0
Old Bow	Common	1	65	6	150	1,667		39,0
Old Revolver	Legendary	6	1500	8	1600	0,600	3,667	1238,5
Old Revolver	Epic	6	1350	8	1200	0,600	3,667	1114,7
Old Revolver	Rare	6	1200	8	800	0,600	3,667	990,8
Old Revolver	Uncommon	6	1050	8	600	0,600	3,667	867,0
Old Revolver	Common	6	600	8	400	0,600	3,667	495,4
Overheat Rifle	Legendary	30	1470	15	6000	0,088	4,033	6618,3
Overheat Rifle	Epic	30	1408	15	5000	0,088	4,033	6339,2
Overheat Rifle	Rare	30	1347	15	4000	0,088	4,033	6064,5
Overheat Rifle	Uncommon	30	1286	15	3000	0,088	4,033	5789,9
Overheat Rifle	Common	30	1225	15	3000	0,088	4,033	5515,3
Overheat Rifle (Swap)	Legendary	30	1470	15	6000	0,088	0,100	16153,8
Overheat Rifle (Swap)	Epic	30	1408	15	5000	0,088	0,100	15472,5
Overheat Rifle (Swap)	Rare	30	1347	15	4000	0,088	0,100	14802,2
Overheat Rifle (Swap)	Uncommon	30	1286	15	3000	0,088	0,100	14131,9
Overheat Rifle (Swap)	Common	30	1225	15	3000	0,088	0,100	13461,5
Pal Metal Axe	Common	1	120	25	400	0,333		360,4
Pal Metal Pickaxe	Common	1	120	25	400	0,333		360,4
Flamethrower	Common	100	636	45	6000	0,250	3,333	2244,7
Plasma Cannon	Legendary	2	13000	50	1200	0,375	3,667	5886,8
Plasma Cannon	Epic	2	12000	50	900	0,375	3,667	5434,0
Plasma Cannon	Rare	2	11500	50	600	0,375	3,667	5207,5
Plasma Cannon	Uncommon	2	11000	50	450	0,375	3,667	4981,1
Plasma Cannon	Common	2	10000	30	300	0,375	3,667	4528,3
Poison Arrow Crossbow	Legendary	1	490	13	1400	0,100	2,000	233,3
Poison Arrow Crossbow	Epic	1	448	13	1200	0,100	2,000	213,3
Poison Arrow Crossbow	Rare	1	406	13	1000	0,100	2,000	193,3
Poison Arrow Crossbow	Uncommon	1	364	13	800	0,100	2,000	173,3
Poison Arrow Crossbow	Common	1	280	13	300	0,100	2,000	133,3
Poison Bow	Common	1	65	6	150	1,667		39,0
Pump-Action Shotgun	Legendary	12	385	20	800	0,600	1,852	2762,4
Pump-Action Shotgun	Epic	11	352	20	700	0,600	1,852	2497,7
Pump-Action Shotgun	Rare	10	308	20	600	0,600	1,852	2156,8
Pump-Action Shotgun	Uncommon	9	275	20	500	0,600	1,852	1895,4
Pump-Action Shotgun	Common	8	220	20	150	0,600	1,852	1487
Refined Metal Axe	Common	1	60	20	300	0,333		180,2
Refined Metal Pickaxe	Common	1	60	20	300	0,333		180,2
Refined Metal Spear	Rare	1	310	20	300	0,733		422,7
Rocket Launcher	Legendary	1	14000	30	1400	0,100	6,000	2295,1
Rocket Launcher	Epic	1	13000	30	1200	0,100	6,000	2131,1
Rocket Launcher	Rare	1	12000	30	1000	0,100	6,000	1967,2
Rocket Launcher	Uncommon	1	11000	30	800	0,100	6,000	1803,3
Rocket Launcher	Common	1	10000	30	300	0,100	6,000	1639,3
Rocket Launcher (Swap)	Legendary	1	14000	30	1400	0,100	4,500	3043,5
Rocket Launcher (Swap)	Epic	1	13000	30	1200	0,100	4,500	2826,1
Rocket Launcher (Swap)	Rare	1	12000	30	1000	0,100	4,500	2608,7
Rocket Launcher (Swap)	Uncommon	1	11000	30	800	0,100	4,500	2391,3
Rocket Launcher (Swap)	Common	1	10000	30	300	0,100	4,500	2173,9
Semi-Auto Rifle	Legendary	12	1610	20	4000	0,250	3,567	2942,1
Semi-Auto Rifle	Epic	11	1495	20	3000	0,250	3,567	2603,4
Semi-Auto Rifle	Rare	10	1380	20	2000	0,250	3,567	2274,7
Semi-Auto Rifle	Uncommon	9	1265	20	1500	0,250	3,567	1957,3
Semi-Auto Rifle	Common	8	1150	20	1000	0,250	3,567	1652,7
Semi-Auto Shotgun	Legendary	14	282	20	1200	0,250	2,833	2885,6
Semi-Auto Shotgun	Epic	13	253	20	900	0,250	2,833	2453,8
Semi-Auto Shotgun	Rare	12	234	20	600	0,250	2,833	2139,2
Semi-Auto Shotgun	Uncommon	11	214	20	450	0,250	2,833	1832,1
Semi-Auto Shotgun	Common	10	195	20	300	0,250	2,833	1551,2
Shock Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Single-Shot Rifle	Legendary	1	2310	20	4000	0,100	2,273	973,6
Single-Shot Rifle	Epic	1	2090	20	3000	0,100	2,273	880,8
Single-Shot Rifle	Rare	1	1870	20	2500	0,100	2,273	788,1
Single-Shot Rifle	Uncommon	1	1650	20	2000	0,100	2,273	695,4
Single-Shot Rifle	Common	1	1100	20	1000	0,100	2,273	463,6
SMG	Legendary	32	227	15	8000	0,055	2,000	1931,9
SMG	Epic	30	195	15	6000	0,055	2,000	1602,7
SMG	Rare	28	175	15	4000	0,055	2,000	1384,2
SMG	Uncommon	26	156	15	3000	0,055	2,000	1182,5
SMG	Common	24	130	15	2000	0,055	2,000	939,8
Stone Axe	Common	1	20	10	150	0,333		60,1
Stone Pickaxe	Common	1	20	10	150	0,333		60,1
Stone Spear	Common	1	35	10	200	0,733		47,7
Stun Baton	Common	1	10	10	300	0,333		30,0
Sword	Common	1	525	10	500	0,330		1590,9
Terra Blade	Legendary	2	637	10	3028	0,333		3825,8
Terra Blade	Epic	2	552	10	2271	0,333		3315,3
Terra Blade	Rare	2	510	10	1514	0,333		3063,1
Terra Blade	Uncommon	2	467	10	1135	0,333		2804,8
Terra Blade	Common	2	425	10	757	0,333		2552,6
Terraprisma	Legendary	1	150	5	10368	0,028		6750,0
Terraprisma	Epic	1	125	5	8640	0,028		5625,0
Terraprisma	Rare	1	110	5	7200	0,028		4950,0
Terraprisma	Uncommon	1	100	5	6000	0,028		4500,0
Terraprisma	Common	1	90	5	5000	0,028		4050,0
Three Shot Bow	Common	1	40	8	250	1,667		72,0
Vortex Beater	Legendary	1	450	15	6000			5550,0
Vortex Beater	Epic	1	390	15	5000			4810,0
Vortex Beater	Rare	1	360	15	4000			4440,0
Vortex Beater	Uncommon	1	330	15	3000			4070,0
Vortex Beater	Common	1	300	15	3000	0,100		3700,0
Water Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Wooden Club	Common	1	25	5	150	0,333		75,1
